title;description;image;url;technologies;supplemental_links;timeframe
Tummy Tracker: Build a Healthier Lifestyle!;A web app that helps users plan and shop for food safely by tracking individual and group dietary needs, allergies, medical conditions, medications, and age-specific requirements. It scans ingredients for real-time suitability analysis, provides personalized and group feedback with health impact warnings, and offers a dashboard with long-term visualizations of ingredient consumption and health trends.;tummy-tracker.png;https://tummy-tracker.streamlit.app/;Python,Streamlit,Pandas,NumPy,Plotly,Altair,OCR Space,Gemini,Firebase,Firestore,Git,Github;{"Github Repository":"https://github.com/ravenclaw1999/tummy-tracker", "Deployed on Streamlit":"https://tummy-tracker.streamlit.app/", "Presentations":"https://drive.google.com/drive/folders/1IgBnHaXzocXv9H3FKO8c2iIJufbX4Sd5?usp=sharing"};Fall 2025
InterPrep: Track and refine your technical interview practice!;A web app that helps users prepare for technical interviews by combining coding practice with communication training. It presents LeetCode-style questions, records and transcribes spoken explanations, and evaluates them using a structured rubric. Users receive personalized feedback on clarity, structure, and technical understanding, plus recommended practice questions filtered by difficulty, algorithm type, problem-solving pattern, or company relevance.;10.png;https://interprep-code.streamlit.app/;Python,Streamlit,Gemini,Whisper ASR,faster-whisper,Pandas,NumPy,Kaggle;{"Github Repository": "https://github.com/ishratarshad/InterPrep", "Deployed on Streamlit":"https://interprep-code.streamlit.app/"};Fall 2025
Whisper Web;A user-friendly web interface that leverages OpenAI's Whisper (an automatic speech recognition model) to transcribe speech from both uploaded audio/video files and directly recorded microphone input. It processes diverse media formats, extracts audio from videos when necessary, and provides accurate text transcriptions with an option for users to preview their recordings before transcription.;whisper-web.png;https://huggingface.co/spaces/0jwj0/whisper-web;Python,Hugging Face,OpenAI,NumPy,SciPy,Gradio,Transformers;{"Deployed on HuggingFace":"https://huggingface.co/spaces/0jwj0/whisper-web"};Fall 2025
Butterfly Species Classification Using Transfer Learning with ResNet50;Achieved a 69.3% training and 72.4% validation accuracy by training a custom convolutional neural network (SimpleButterflyCNN) model to classify 9,000+ butterfly images across 75 species. Applied transfer learning with the ResNet50, significantly improving classification results to a 96.7% training and 91.8% validation accuracy (Precision: 0.92, Recall: 0.91, F1-score: 0.91, Support: 1300), amplifying generalization accuracy.;butterfly.png;https://github.com/wong-ja/ML_Butterfly_Classification_CNN_ResNet50;Python, NumPy, Pandas, PyTorch, Torchvision, Pillow, TQDM, Scikit-learn, Matplotlib, Seaborn;{"Github Repository / Jupyter Notebook" : "https://github.com/wong-ja/ML_Butterfly_Classification_CNN_ResNet50", "Project Presentation":"https://github.com/wong-ja/ML_Butterfly_Classification_CNN_ResNet50/blob/main/Presentation_II_(10-15min).pdf"};Spring 2025
Random Forest Analysis of Health and Poverty Dynamics in the U.S. (2015-2025);Synthesized and cleaned 35,000+ multi-source US health, poverty and population records (Google PDFM, County Health Rankings) with complex joins, data mappings, and missing data remediation. Built and evaluated multi-target Random Forest regression models (scikit-learn), using imputation and feature importance to identify smoking rates as the top predictor of poor mental & physical health days.;demographics.png;https://github.com/wong-ja/SD_Health_Poverty_Dynamics_2015-2025;Python, Jupyter Notebooks, NumPy, Pandas, Scikit-learn, Matplotlib, Seaborn, DuckDB;{"Github Repository / Jupyter Notebook" : "https://github.com/wong-ja/SD_Health_Poverty_Dynamics_2015-2025", "Project Presentation":"https://github.com/wong-ja/SD_Health_Poverty_Dynamics_2015-2025/blob/main/present-fin.pdf"};Spring 2025
Specialty Candy Shop: Data-Driven Plan TO Prevent Inventory Shortages;Integrated SQL Server data tables spanning logistics, sales, targets, and product information to find optimization strategies and critical operational issues. Designed a range-based inventory strategy using Holt-Winters exponential smoothing (statsmodels) to forecast demand with fixed seasonality, guiding long-term planning on inventory and capacity decisions to a 5-year operational lead time.;candyshop.png;https://drive.google.com/file/d/1wIwgKrm7G_fI7ZyYXw68Db2LNvrlpJ7c/view?usp=drive_link;Python,SQL,SQL Server,Pandas, NumPy, Matplotlib, Seaborn,Pyodbc;{"Project Presentation":"https://drive.google.com/file/d/1wIwgKrm7G_fI7ZyYXw68Db2LNvrlpJ7c/view?usp=drive_link"};Summer 2025
AlgeBlitz;A maths-based mobile app to gamify learning -- from algebraic fundamentals, to advanced mathematical theory, and practical applications. Designed and prototyped app screens in Figma for diverse use cases, and implemented frontend components. Created and automated UI, heartbeat, unit, and integration tests, achieving a code coverage of 48.48%.;math-game.png;https://github.com/Chromium99/AlgeBlitz;React Native,Expo,TypeScript,JavaScript,Tailwind CSS,Tamagui,Jest,React Native Testing Library,Figma,,Docker,Yarn,npm,AWS,Git,Github,Trello;{"Github Repository" : "https://github.com/Chromium99/AlgeBlitz", "Agile Sprint Retrospective":"https://drive.google.com/drive/folders/1e7KEFyuXgGbg2p7ckjBJAOtfzsipGTdZ?usp=sharing","Figma Prototype":"https://www.figma.com/proto/NJUDrUzs9IK1BjQXmch0ip/AlgeBlitz?node-id=273-1557&p=f&t=B9xxNxVKnFPBFxva-1&scaling=scale-down&content-scaling=fixed&page-id=1%3A4&starting-point-node-id=273%3A1557&show-proto-sidebar=1"};Fall 2024
CareerCheer;Participated in CTP Hacks 2025. CareerCheer is a simple, user-friendly mobile app designed to help students track their internship and job hunting progress through the application stages.;12.png;https://github.com/wong-ja/CTP_Hacks_2025_CareerCheer;Android Studio,Kotlin,Git,Github;{"Github Repository" : "https://github.com/wong-ja/CTP_Hacks_2025_CareerCheer", "Hackathon Presentation":"https://docs.google.com/presentation/d/1cGz08eMRJCVz6jznCAByW_RDRnLS2P0OPy6Wf_bHAlo/edit?usp=sharing","Installation & App Demo":"https://youtu.be/NJxoO6fF3C4"};Summer 2025
MANJU;A cross-functional food-ordering, food delivery, customer complaint system, inventory tracker, and payroll management all-in-one mobile app. It connects chefs, delivery personnel, food importers, administrators, and customers. Some features include a GUI displaying a menu of dishes and reviews, personalized top dish selections, a performance evaluation system for chefs and delivery personnel, customer dining options (in-store, pickup, or delivery), ingredient inventory tracking for chefs, resupply access for food importers, and an employee payroll and management system.;19.png;https://github.com/nimajneben/CS-Diner-dept;Dart,Flutter,Firebase,Firestore,Figma,Git,Github;{"Github Repository" : "https://github.com/nimajneben/CS-Diner-dept", "Software Requirements Specifications":"https://drive.google.com/drive/folders/1kxmP5YCTwAxbXuBceHp8sKfvRCEgAMpT?usp=sharing"};Spring 2023
CSV Scrambler;A Python command-line tool with multiple modes and options to scramble "clean" CSV files into "dirty" or non-standardized CSVs. This tool can help with data cleaning & formatting practice.;csv.svg;https://github.com/wong-ja/csv_scrambler;Python;{"Github Repository" : "https://github.com/wong-ja/csv_scrambler;Python"};Fall 2025
